Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Buenas,Buenas,Quevedo,9/22/2023,BK4DA2318657,"3,529",22.9,"10,81,63,942","22,023","72,64,376",,"1,72,11,451","2,02,291","12,100","19,78,266","2,36,64,790","11,17,763",9,"5,991",,8,"3,27,123",7,"67,514",23,,"1,30,949",,0
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM) - Single,MAX,02-09-2024,USWB12400075,"3,537",22.9,"7,24,92,332","5,624","1,06,55,675",,"1,90,13,959","6,30,558",,,,"1,02,59,63,249",20,"1,971",22,9,"73,615",14,"60,20,190","1,002",,"1,93,722",,0
Let Her Go,All The Little Lights,Passenger,01-01-2012,GBMQN1100004,"3,534",22.9,"2,25,27,13,547","2,05,647","4,67,29,104",73,"42,35,31,195","41,18,839","2,44,760","6,61,68,928","64,19,96,440","7,88,46,239",192,"1,578",288,103,"8,65,488",13,,,,"3,35,84,600",,0
Put Your Records On,Put Your Records On,Ritt Momney,4/24/2020,USQX92004148,"3,561",22.8,"60,05,21,313","79,793","1,82,07,064",65,"5,00,25,071","7,05,508","11,463","1,05,17,561","7,99,47,183","17,03,122",95,"1,69,082",400,35,"1,99,939",15,"7,44,83,821","22,547",,"24,48,945",,0
So Am I,So Am I,Ava Max,03-07-2019,USAT21900569,"3,558",22.8,"57,00,45,987","57,702","1,00,99,210",66,"36,82,97,733","44,29,234","2,33,355","2,64,34,189","21,89,68,895","32,76,98,772",36,"1,03,692",23,18,"46,637",18,"3,76,71,421","37,562",,"46,51,739",,0
Slide,Slide,Calvin Harris,2/24/2017,GBARL1700262,"3,555",22.8,"1,04,43,58,962","1,65,916","4,15,14,442",69,"3,71,91,231","3,80,168","65,020","3,13,32,915","32,34,28,098","4,02,464",255,"31,180",90,83,"6,35,921",30,"14,48,32,941","1,01,066",,"84,01,595",,1
Feel Good Inc.,Demon Days,Gorillaz,5/23/2005,GBAYE0500172,"3,548",22.8,"1,40,73,82,497","3,57,484","7,26,04,627",78,"1,21,12,41,854","1,08,19,604","3,37,277","15,26,28,012","1,39,67,61,942","51,92,21,456",18,"1,26,129",172,131,"19,95,709",90,,,,,,0
Me And My Broken Heart,Power Hits 2014,Rixton,01-01-2014,USUM71401800,"3,563",22.8,"73,39,31,275","1,15,255","2,71,52,345",71,"53,50,24,991","47,02,620","2,93,382","60,37,735","4,71,38,593","37,68,72,478",27,"20,296",138,22,"58,749",4,"49,99,99,791","1,76,815",,"68,89,166",,0
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Perfect Ten,Mustard,6/28/2019,USUM71911804,"3,566",22.8,"33,22,24,927","90,422","1,20,36,582",58,"3,30,56,892","3,53,473","51,790","2,93,52,131","21,00,52,450","6,88,339",20,35,,17,"7,734",1,"64,74,132","9,732","4,42,77,759","7,22,682",,1
Bachpan Ka Pyaar,Bachpan Ka Pyaar,Badshah,08-11-2021,INUM72100052,"3,565",22.8,"2,58,93,883","3,377","7,11,026",46,"53,51,09,576","78,07,029",,,,"15,97,02,368",2,664,,1,509,7,759,,,"88,942",,0
Lo Aprendï¿½ï¿½ de Ti - HA-ASH Primera Fila - Hecho Realidad [En V,HA-ASH Primera Fila - Hecho Realidad,Ha*Ash,11-11-2014,MXF011400346,"3,560",22.8,"29,67,11,145","17,197","1,37,70,893",67,"1,59,92,46,274","42,73,511","1,44,200","39,33,137","7,83,37,323","52,28,835",10,"6,169",,17,"92,845",3,"2,76,69,036","46,691",,"9,70,443",,0
GIRL LIKE ME,Translation,Black Eyed Peas,6/18/2020,USSM12003440,"3,547",22.8,"52,94,04,392","74,777","2,01,37,742",62,"5,38,85,408","4,33,692","1,96,204","7,40,62,960","58,33,03,862",,111,"1,25,643",16,65,"17,28,539",36,"6,18,48,715","25,690",,"41,39,682",,1
Blinding Lights - Instrumental,Blinding Lights,The Weeknd,09-11-2020,USUG12003586,"3,553",22.8,"51,91,059","1,333","11,02,247",32,"68,55,99,294","50,46,214","86,612","3,42,07,191","49,03,67,040","18,293",1,495,,,,,"75,074","1,303",,,,0
Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,9/17/2021,USUG12103658,"3,550",22.8,"73,21,18,596","62,990","3,53,14,187",69,"3,12,42,374","5,33,953",,,,,74,"24,287",,11,"2,93,175",59,"4,75,62,205","14,217",,"9,82,971",,0
Here With Me,Here With Me,Marshmello,03-08-2019,USUG11900610,"3,564",22.8,"67,64,51,716","70,317","1,96,41,164",66,"21,19,22,060","26,21,667","3,30,309","1,22,06,145","8,92,70,256","34,25,43,929",103,"68,308",12,22,"66,074",54,"15,75,00,720","65,709",,"37,05,612",,0
Ain't Your Mama,Ain't Your Mama,Jennifer Lopez,04-07-2016,USSM11602625,"3,562",22.8,"47,87,91,369","58,453","1,56,19,408",63,"96,46,94,090","62,31,853","5,12,763","2,88,74,189","28,12,05,271","20,83,45,707",55,"53,264",36,64,"3,94,903",12,"1,78,32,312","37,983","1,43,896","46,80,196",,0
Rock My Body,Rock My Body (with INNA & Sash!),R3HAB,4/28/2023,AEA2D2300315,"3,545",22.8,"15,54,54,907","26,701","5,45,53,074",73,"4,91,99,015","4,27,756",535,"81,509","21,64,944","34,24,22,383",35,,2,52,"26,71,845",11,"17,898",72,,"13,41,106",,0
TWINNEM,TWINNEM,Coi Leray,9/20/2021,USUM72115284,"3,557",22.8,"3,41,16,353","10,084","16,19,073",42,"7,33,93,043","12,78,586","24,26,688","71,64,22,698","6,66,16,17,341","30,53,61,285",10,966,"1,051",4,"4,708",8,"1,31,12,166","6,871","19,67,272","10,61,424",,1
Mood,Mood,Makar,08-05-2022,QZMEN2295194,"3,551",22.8,"8,61,32,200","50,326","37,86,319",55,"4,36,54,805","4,05,433","2,04,570","2,22,70,479","39,73,36,191","1,21,71,024",12,"19,437",,5,"54,477",2,"3,27,586",92,,"15,48,192",,1
TU$$I (with Dei V),TU$$I (with Dei V),YOVNGCHIMI,10/20/2023,QZWA32200398,"3,549",22.8,"9,43,05,899","11,356","90,53,525",72,"4,88,37,884","3,16,446","24,000","83,94,951","7,33,23,706","18,11,25,928",6,16,,2,"28,415",5,"3,49,115",82,,"2,03,793",,1
"Duki: Bzrp Music Sessions, Vol. 50","Duki: Bzrp Music Sessions, Vol. 50",Bizarrap,11/16/2022,UYB282201029,"3,554",22.8,"15,80,17,957","35,544","64,81,114",62,"11,23,78,481","30,43,988","33,800","2,51,95,709","22,73,08,261","12,18,277",8,"2,244",,10,"1,64,441",14,,,,"1,37,614",,0
Tell Me What You Want,Tell Me What You Want - Single,Oden & Fatzo,6/14/2024,GBCPZ2423268,"3,546",22.8,,8,"34,90,536",,,,,,,,6,,,4,"63,79,165",6,,,"54,974",,,0
KABUKI,KABUKI,Cuckoo Coco,3/25/2023,AUMEV2314402,"3,544",22.8,,,,,"25,42,88,195","6,17,991",,,,,,18,,,,,,,,,,1
The Bones,GIRL...The Bones,Maren Morris,2/22/2019,USG4X1800054,"3,556",22.8,"46,14,20,009","32,656","1,35,23,577",63,"9,74,98,335","7,24,848","46,959","1,43,68,835","12,38,88,567","50,65,61,773",85,"3,82,468",276,15,"22,687",67,"22,54,39,269","77,764",,"24,69,386",,0
Good News,Good News,Mac Miller,01-09-2020,USWB11801008,"3,567",22.8,"44,77,61,883","1,16,525","1,54,19,745",64,"18,31,68,994","20,32,885","95,825","4,34,07,153","36,75,11,487","26,21,984",57,"4,887",31,42,"2,01,584",7,"1,32,28,033","16,924",,"6,66,198",,0
Sin Seï¿½ï,Sin Seï¿½ï,Quevedo,7/22/2022,ZZOPM2235984,"3,559",22.8,"28,18,29,019","58,130","85,87,722",62,"4,96,81,285","4,76,250",,,,"30,96,11,524",14,"4,820",,8,"26,602",2,"1,10,512",,,"4,79,341",,0
Mejor Que Yo,Mejor Que Yo - Single,Anuel AA,05-04-2023,QM6N22374183,"3,552",22.8,"8,16,23,095","18,046","66,05,054",59,"10,91,32,919","11,46,510",,,,,18,"3,065",,2,"4,440",18,"39,00,142",880,,"2,31,295",,1
Wiggle (feat. Snoop Dogg),Talk Dirty,Jason Derulo,09-10-2013,USWB11400672,"3,568",22.8,"45,87,06,557","72,270","1,82,70,302",58,"32,99,62,266","17,14,163","19,69,612","15,01,22,218","1,59,98,68,506","2,02,089",41,"7,255",87,31,"1,20,756",11,"20,46,84,240","7,36,509",,"1,02,08,674",,0
Evoque Prata,Evoque Prata,MC MENOR HR,09-09-2022,BCA2A2200128,"3,595",22.7,"22,41,50,665","33,067","1,43,83,640",58,"10,57,11,690","6,30,231","3,30,044","1,54,66,674","27,96,99,428","17,65,91,291",7,648,,33,"1,91,110",5,,,,"3,00,617",,1
Last Heartbreak Song,The Year I Turned 21,Ayra Starr,5/30/2024,USUG12402960,"3,580",22.7,"60,73,281",592,"2,22,70,490",67,"35,97,876","1,51,835",,,,"3,28,44,745",61,184,,17,"14,58,694",65,"1,26,908",23,27,"1,02,468",,0
MIDDLE CHILD,TrapStar Turnt PopStar,PnB Rock,05-02-2019,USAT21901942,"3,590",22.7,"14,31,52,814","37,044","37,05,069",53,"11,15,36,750","19,32,048","21,064","74,19,600","5,69,02,607","1,52,29,934",2,251,,3,"2,963",1,"19,74,367","15,412","6,84,99,237","1,72,456",,1
Pakistan,Pakistan,D-Block Europe,6/29/2023,USZXT2351612,"3,594",22.7,"4,38,44,757","25,855","25,53,452",56,"1,53,89,226","98,631",,30,"1,420",294,10,"1,580",,6,"2,48,548",6,304,14,"41,78,027","1,01,226",,1
Beat the Odds,Beat the Odds,Lil Tjay,8/26/2022,USSM12207337,"3,575",22.7,"11,55,81,471","49,847","58,23,632",60,"4,62,51,839","9,46,512","19,042","1,16,69,063","9,33,56,963","23,12,65,850",16,"38,261","1,424",8,"48,742",7,"88,78,298","2,816",,"3,59,642",,1
Barely Breathing,Barely Breathing,Grant Averill,10/22/2021,TCAFW2108079,"3,582",22.7,"14,79,227",616,"19,001",22,"1,05,953","2,195","35,01,522","29,08,86,962","5,23,51,90,320",,,30,,,,,,,,"1,26,537",,0
All Around The World (La La La),All Around The World (La La La),R3HAB,04-05-2019,NLW4L1900121,"3,571",22.7,"65,49,65,766","1,24,386","4,06,11,935",68,"14,70,35,496","13,83,677","5,32,715","15,02,05,415","1,85,92,82,676","2,77,72,087",87,"34,490",1,117,"7,93,184",23,"16,04,779","1,078",,"30,47,102",,0
"You're On Your Own, Kid",Midnights,Taylor Swift,10/21/2022,USUG12205711,"3,585",22.7,"58,75,55,589","34,908","2,15,79,957",72,"4,31,30,763","3,57,803","77,652","5,49,62,930","34,29,58,656",,13,"1,087",2,3,"22,755",9,"79,67,496","5,328",,"3,64,310",,0
ýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýý (My head is spinning like a screw),ýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýý,kostromin,02-02-2021,QM4TW2159341,"3,578",22.7,"11,65,42,329","41,062","36,58,542",8,"11,52,29,170","24,36,482","18,44,500","54,71,19,599","3,96,44,54,629","11,69,307",9,1,,3,"3,117",,"10,82,032","1,887","4,35,966","35,36,203",,1
Already Rich,Already Rich,Yeat,05-03-2023,USUM72306884,"3,592",22.7,"15,60,47,755","31,578","41,70,271",70,"1,32,51,602","1,56,992","1,95,434","2,61,90,022","27,30,07,809","83,289",1,12,507,,,,"6,37,800","1,448",,"2,52,675",,1
Bandana,Bandana - Single,Shubh,3/29/2024,INW262400703,"3,576",22.7,"4,14,79,958","1,644","58,18,260",72,"2,56,06,311","4,81,855",,,,,14,95,,,,6,"10,806",2,,"60,404",,0
ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý,Mrs. GREEN APPLE,04-11-2024,JPPO02401026,"3,573",22.7,"2,62,22,603",921,"74,92,428",74,"2,30,49,880","2,75,676","6,375",,,,30,255,,,,3,"26,690",,,"59,611",,0
Bruises,Bruises,Lewis Capaldi,3/31/2017,GBKPL1778698,"3,570",22.7,"1,13,55,88,382","1,32,498","3,86,83,695",73,"37,58,23,933","30,28,107","1,19,383","1,31,12,648","12,00,59,618","1,40,15,244",69,"30,368",,33,"92,939",9,"5,96,54,253","65,711",,"22,99,610",,0
exile (feat. Bon Iver),folklore,Taylor Swift,7/24/2020,USUG12002838,"3,572",22.7,"75,77,89,027","81,489","5,51,81,767",72,"14,41,50,389","14,68,017","1,77,809","7,25,12,284","55,33,60,638","1,40,52,190",70,"10,081",62,19,"1,15,184",45,"2,57,60,635","23,011",,"18,31,311",,0
THE GIRLS - BLACKPINK THE GAME OST,THE GIRLS (BLACKPINK THE GAME OST),BLACKPINK,8/25/2023,KRA402300038,"3,596",22.7,"11,65,39,504","7,964","86,70,175",62,"9,26,28,391","21,02,936",30,"2,04,176","8,70,565","4,16,55,609",7,"4,506",,13,"2,53,740",24,"10,84,444",941,,"2,20,900",,0
Raja Ji,Raja Ji,Pawan Singh,6/30/2023,ING642304903,"3,581",22.7,"2,72,44,358",456,"2,63,080",61,"17,53,50,809","9,95,898",,,,"2,97,57,537",,,,,,,,,,"12,266",,0
ýý ýýýýýýýýýý,ýý ýýýýýýýýýý - Single,A.V.G,7/17/2023,DGA062340713,"3,593",22.7,"1,06,94,922","5,363","2,88,263",50,"12,06,81,039","6,53,249",,"7,62,205","1,63,74,449","29,28,89,844",7,,,,,,,,,"15,93,368",,0
Love Sosa,Finally Rich (Deluxe),Chief Keef,01-01-2012,USUM71214600,"3,586",22.7,"75,75,22,352","2,24,483","3,04,72,220",74,"10,11,46,931","10,73,571","1,86,541","5,95,91,708","45,06,72,924","23,29,764",36,"1,404",51,9,"17,953",6,"19,93,48,206","7,85,640","3,85,854","11,30,370",,1
HIND'S HALL,HIND'S HALL,Macklemore,05-10-2024,ZZOPM2445925,"3,589",22.7,"2,24,63,244","2,291","24,06,268",73,"22,37,688","1,47,286",,"1,11,800","2,72,100",,6,985,,3,"16,86,021",1,"98,723",229,,"86,524",,1
Skibidi,"Antipositive, Pt. 2",Little Big,10-05-2018,RUA591801291,"3,577",22.7,"4,68,72,738","21,343","15,15,150",49,"87,61,22,384","64,97,142","5,52,680","3,51,54,078","46,06,36,179","1,05,39,876",14,14,,2,"6,971",,"5,84,101","8,545",,"10,55,258",,0
I'm Geekin,I'm Geekin,DDG,4/21/2023,USSM12302214,"3,584",22.7,"7,60,04,507","24,334","34,77,076",60,"98,62,592","2,31,074","4,80,208","18,28,82,813","1,46,74,34,192","20,39,39,429",9,"15,042",351,10,"94,029",,"17,10,046","1,518",,"1,32,370",,1
Hey Lil Mamï¿,Sol Marï¿½,Eladio Carrion,1/19/2024,QMFMG2346935,"3,574",22.7,"7,79,75,794","7,057","1,05,65,513",71,"2,71,30,599","2,31,540",,,,"11,01,97,195",11,"1,124",3,9,"72,838",9,"5,54,815",328,,"2,62,176",,0
Eres Mï¿½,"Fï¿½ï¿½rmula, Vol. 2 (Deluxe Edit",Romeo Santos,2/25/2014,USSD11300464,"3,583",22.7,"56,29,83,225","52,754","1,61,57,389",73,"1,45,25,93,496","49,97,178","2,61,129","3,30,76,170","31,47,78,494","22,42,25,223",25,"9,125",7,27,"3,77,492",10,,,,"33,43,573",,0
Sunrise,One Thing At A Time,Morgan Wallen,03-03-2023,USUG12300812,"3,579",22.7,"10,45,16,305","16,554","14,12,703",67,"4,45,35,669","2,84,688","32,776","22,19,054","2,38,49,216",,3,155,,,,,"6,87,75,651","10,824","26,64,322","1,53,036",,0
ME! (feat. Brendon Urie of Panic! At The Disco),ME!,Taylor Swift,4/26/2019,USUG11901267,"3,588",22.7,"85,99,85,881","17,061","48,18,145",,"44,12,33,054","64,54,290",,,,"47,22,15,964",112,"56,082",,27,"51,446",7,"10,93,21,182","1,55,826",,"27,64,962",,0
Para de Mentir,Para de Mentir,Oruam,11/16/2023,BCM9A2300096,"3,569",22.7,"4,40,91,443","4,971","57,68,959",,"8,10,99,679","5,75,459",,"2,26,237","19,98,040","34,98,14,773",,,,16,"4,66,460",8,,,,,,0
TRYNA MAKE SURE,TRYNA MAKE SURE,Moneybagg Yo,05-03-2024,USUM72404717,"3,591",22.7,"55,88,636","1,252","73,89,987",,"56,80,064","87,918",,,,"19,13,83,970",17,2,27,3,"13,69,715",18,"41,53,458",165,"5,34,597","32,511",,1
Yo Ya No Vuelvo Contigo - En Vivo,Viva Mï¿½ï¿½xico (En V,Grupo Firme,11/25/2020,QZDQH1908793,"3,587",22.7,"19,69,714",502,"83,027",29,"67,84,12,558","25,02,471","2,322","5,47,396","1,04,05,552","1,70,29,446",,,,,,3,"5,16,773","1,499",,,,0
Bella y Sensual,Golden,Romeo Santos,7/21/2017,USSD11700316,"3,611",22.6,"49,43,73,634","45,589","2,02,64,304",66,"82,45,55,368","30,78,270","48,062","54,27,309","4,09,49,580","25,46,53,941",35,"3,741",4,27,"3,45,817",27,"15,64,33,703","28,254",,"17,36,972",,0
Bertahan Terluka,Bertahan Terluka - Single,Fabio Asher,02-02-2022,SGB502203331,"3,603",22.6,"17,16,63,870","10,620","29,01,653",4,"16,99,81,704","8,23,356","14,46,616","31,56,73,377","4,03,95,54,717","23,12,695",5,"2,475",,,,,,,,"89,958",,0
if looks could kill,if looks could kill,Destroy Lonely,03-03-2023,USUM72302654,"3,618",22.6,"8,87,71,696","46,086","48,86,494",62,"1,15,80,205","2,73,458","3,641","22,17,176","1,37,85,559","26,68,776",3,27,35,,,7,"3,06,963",838,,"4,56,300",,1
Save Me The Trouble,"Save Me The Trouble, Heartbreak On The Map, Bigger Houses",Dan + Shay,7/14/2023,USWB12302904,"3,616",22.6,"2,89,45,482","3,303","22,39,918",52,,,"2,424","90,595","19,16,491",,10,"1,41,650",2,3,"88,393",13,"1,35,93,333","1,095",,"2,19,049",,0
Marisola - Remix,Marisola (Remix),Cris Mj,12/15/2022,CLA1D2200030,"3,621",22.6,"32,52,64,193","47,780","2,20,81,093",70,,,"28,194","71,37,722","8,37,64,776",,9,"18,164",20,18,"5,49,718",24,"5,90,914",374,,,,1
Trampoline,Trampoline,SHAED,5/18/2018,QZ47A1800201,"3,615",22.6,"22,93,66,200","37,923","47,19,100",55,"9,63,07,326","13,64,046","5,98,075","7,26,71,267","81,51,92,203","62,01,413",47,"2,70,234",,13,"7,187",43,"24,16,61,372","1,24,369","1,63,51,257",,,0
Alone (with Nicki Minaj),Alone,Kim Petras,4/21/2023,USUG12302442,"3,622",22.6,"7,90,45,342","18,284","66,28,769",55,"3,41,42,538","5,65,870","19,430","92,97,727","10,50,37,367","71,15,54,335",42,"61,153",858,18,"2,14,894",44,"1,27,37,821",856,,"9,94,509",,1
Godï¿½ï¿½ï¿½,GO LIVE,Stray Kids,6/17/2020,US5TA2000037,"3,600",22.6,"35,46,43,707","30,447","70,12,694",68,"52,99,09,818","84,69,062","1,47,664","14,11,80,977","70,34,79,878","3,42,39,087",14,887,20,5,"70,358",16,"28,69,102","9,153",,,,0
Te Vi,Los muchachos vol. 1 - EP,Piso 21,06-01-2018,MXF151800454,"3,610",22.6,"75,27,08,868","62,653","3,19,13,503",70,"53,57,64,821","21,59,262","7,51,220","5,93,90,273","42,78,23,320","13,19,77,173",68,"16,739",69,46,"3,47,376",31,"4,17,20,770","12,717",,"23,26,604",,0
I Wanna Be Yours,AM,Arctic Monkeys,01-01-2013,GBCEL1300373,"3,597",22.6,"2,18,52,40,293","2,77,753","12,90,62,801",86,"10,95,38,379","12,68,458","2,636","1,65,02,076","10,50,20,737",,39,"2,746",,36,"26,08,421",35,"3,89,18,532","20,659",,"42,80,207",,0
Boyfriend,Believe,Justin Bieber,01-01-2012,USUM71202650,"3,614",22.6,"53,89,18,222","73,149","2,94,04,069",70,"99,23,02,781","66,29,367","2,60,418","2,60,28,741","14,91,88,520","18,46,69,606",43,"5,481",66,20,"2,06,290",17,"19,63,98,467","7,07,576","3,13,957","30,52,967",,0
PARANOIA,PARANOIA,HEARTSTEEL,10/23/2023,QZH6S1900806,"3,601",22.6,"7,76,00,263","13,012","16,64,856",,"5,04,06,342","9,23,571","11,600","1,14,07,462","8,00,73,768","7,64,73,184",,80,,,,,"1,96,297",107,,"74,897",,0
Story of My Life,Story of My Life,One Direction,10/28/2013,GBHMU1300210,"3,607",22.6,"1,27,50,36,167","1,43,693","8,55,20,811",79,"26,46,58,339","36,96,633","3,30,028","10,51,41,667","86,22,77,477","62,831",101,"86,998",111,44,"3,22,268",24,"30,39,93,932","2,75,062",,"90,15,652",,0
Black Summer,Black Summer,Red Hot Chili Peppers,02-04-2022,USWB12105880,"3,606",22.6,"12,82,64,127","34,856","1,45,39,064",57,"5,72,52,735","9,07,529","4,321","10,49,186","2,05,90,526","9,72,06,641",21,"1,84,255",100,17,"35,774",23,"74,19,824","2,929",,"14,71,206",,0
Devil You Know,Devil You Know - Single,Tyler Braden,02-02-2024,USWB12400281,"3,599",22.6,"3,76,34,335","4,046","1,15,35,906",21,"1,26,46,991","1,55,250",,,,"64,91,10,857",7,"3,216",43,3,"11,371",25,"2,34,87,655","1,844","2,65,114","1,08,677",,0
run for the hills,THINK LATER,Tate McRae,12-08-2023,USRC12302981,"3,604",22.6,"12,08,80,428","10,296","1,69,02,097",,"1,11,15,978","1,43,233",,,,"1,81,30,86,064",25,"6,894",307,29,"2,97,952",18,"1,34,30,776","1,931",,"1,47,452",,1
I Know - PR1ISVX Edit,I Know (PR1ISVX Edit),Kanii,3/24/2023,USWB12301125,"3,617",22.6,"15,24,54,686","34,461","50,57,389",65,,,,,,,4,161,,2,190,,"4,73,548",562,"52,29,423","1,59,945",,1
Wish,Wish,Diler Kharkiya,11/20/2020,INS922000422,"3,598",22.6,"1,08,48,948","1,036","1,86,826",45,"68,18,81,643","35,59,389",471,"58,718","13,27,611",,,,,,,,,,,"42,722",,0
Let Me Love You,Turning Point,Mario,01-01-2004,USJAY0400348,"3,608",22.6,"97,11,72,980","1,46,441","5,76,55,350",70,"99,60,52,113","57,81,852","1,58,366","2,16,55,145","17,14,91,357","55,92,14,970",119,"1,12,158",106,86,"14,76,213",31,"1,02,21,98,659","5,50,385","1,39,191","64,73,758",,0
Sofia,Sofia,Alvaro Soler,4/15/2016,DEUM71601055,"3,612",22.6,"35,35,25,330","59,509","93,23,605",65,"1,00,45,45,222","71,06,869","3,79,396","1,70,82,677","15,10,19,644","19,11,92,432",21,"43,791",4,16,"74,676",14,"9,45,763","10,078",,"61,34,790",,0
Beso (Fruta Fresca),Beso (Fruta Fresca),Wakyin,12/13/2023,USUG12310037,"3,605",22.6,"2,60,36,782","13,038","1,65,95,457",,"40,08,686","45,996",,,,,5,810,36,12,"5,20,010",8,,,"19,21,607","4,17,318",,0
Ya Lili,Ya Lili,Balti,11-07-2017,LBA0H1700138,"3,609",22.6,"5,46,78,867","18,538","15,06,717",46,"1,00,46,15,686","74,93,088","8,98,905","3,55,56,332","81,66,21,236","38,65,576",4,473,,6,"44,373",,,,,"30,70,031",,0
Those Eyes,Those Eyes,New West,05-10-2019,TCAEE1990215,"3,613",22.6,"78,51,39,012","1,19,530","3,34,81,593",73,"14,72,15,663","17,30,949","1,14,347","7,94,25,600","59,43,52,793","36,00,049",23,"19,144",399,9,"28,495",13,"9,30,098","2,030",,"23,32,983",,0
Little Foot Big Foot (feat. Young Nudy),Atavista,Childish Gambino,5/13/2024,USRC12302587,"3,602",22.6,"73,62,358","1,483","45,17,785",,"66,47,943","2,66,158",,,,"3,81,728",17,375,,21,"1,39,488",16,"2,96,216",228,"85,267","42,895",,1
Explï¿½ï¿½,Para Mi Ex,Myke Towers,12/15/2020,QMFMF2007349,"3,619",22.6,"24,39,31,915","57,909","77,81,405",62,"33,71,23,245","15,92,106","38,300","1,30,56,090","11,60,38,150","1,36,20,018",24,"3,123",,3,"19,077",4,"1,20,08,035","2,206",,"4,66,416",,1
Girl On Fire,NRJ Music Awards 2013,Alicia Keys,01-01-2012,USRC11201015,"3,620",22.6,"64,62,95,324","96,138","4,27,59,011",71,"71,95,70,982","57,71,711","17,67,171","10,06,02,291","1,26,47,56,176","23,31,20,548",112,"1,32,465",164,67,"2,16,702",33,"13,05,38,038","4,61,006",,"58,09,958",,0
Like I Want You,LIKE I WANT YOU,Giveon,11/21/2019,USSM11914370,"3,623",22.6,"38,25,65,051","85,310","2,42,09,669",69,"12,18,75,542","9,86,189","62,502","1,77,99,186","12,37,45,488","12,63,721",55,25,24,14,"71,931",1,"2,67,86,493","21,467","2,12,23,826","12,22,113",,0
"Naiyo Lagda (From ""Kisi Ka Bhai Kisi Ki Jaan"")","Naiyo Lagda (From ""Kisi Ka Bhai Kisi Ki Jaan"")",Himesh Reshammiya,02-12-2023,INZ031412468,"3,638",22.5,"58,28,713",790,"1,15,824",,"25,13,02,629","28,84,972",,,,"8,72,39,915",2,,,,,2,,,,"97,864",,0
Black Magic,Black Magic,Little Mix,5/21/2015,GBHMU1500046,"3,637",22.5,"64,20,37,328","56,621","2,06,21,933",67,"1,14,33,53,058","93,32,783","1,30,256","3,31,93,688","29,07,54,721","63,34,36,955",110,"39,176",2,25,"1,15,424",21,"3,92,84,360","53,359",,"23,32,701",,0
Budapest,Did You Hear the Rain?,George Ezra,11-03-2013,GBARL1400477,"3,646",22.5,"1,14,20,61,871","1,40,545","4,34,38,732",79,"26,56,20,751","15,28,733","13,128","51,75,533","4,27,11,557","1,66,31,579",183,"1,06,124",208,68,"3,09,720",36,"33,67,91,180","1,92,462","3,60,734","1,23,60,774",,0
Shellfish cumbia,Retumbo,H2O,3/31/2023,USA2B2308081,"3,633",22.5,,2,4,,"24,42,28,052","5,70,281",,,,,,2,,,,,,,,,,0
La Gï¿½ï¿½e,La Gï¿½ï¿½erita - Si,Grupo Marca Registrada,4/26/2024,BK4DA2412746,"3,645",22.5,"2,78,13,921","1,325","4,01,46,341",75,"1,29,69,075","88,088",,,,,5,5,,2,"39,467",,"1,04,690",293,,"1,03,648",,0
Mi Tesoro (feat. Nicky Jam),Motivan2,Zion & Lennox,9/30/2016,USWL11600243,"3,631",22.5,"16,22,40,700","16,013","52,49,592",54,"16,80,05,056","7,64,995","68,95,858","7,25,49,539","1,42,67,65,550","1,50,952",10,"1,586",5,13,"69,938",10,"3,31,36,221","7,883",,"8,29,090",,0
ERE,ERE,juan karlos,08-04-2023,PHUM72300128,"3,626",22.5,"11,72,90,821","8,229","68,44,366",62,"7,90,61,420","5,33,194","2,20,671","1,78,70,184","20,15,66,991","4,65,22,818",5,715,,,,,"31,098",101,,"20,508",,1
Alcohol-Free,Alcohol-Free,TWICE,06-09-2021,US5TA2100022,"3,634",22.5,"22,42,95,163","24,906","71,88,926",62,"39,80,36,555","52,48,109","1,54,492","12,26,14,400","81,10,61,720","16,24,79,822",25,"2,581",46,1,"32,602",25,"4,83,553","1,561",,"3,39,808",,0
Bad boy,Bad boy,Marwa Loud,01-01-2018,FR7IX1800130,"3,639",22.5,"22,85,88,822","55,077","50,70,531",63,"52,63,05,086","57,36,409","23,31,929","34,84,14,974","3,55,12,04,518","2,31,380",12,"8,461",,9,"15,135",4,"1,97,001","1,063",,"43,86,468",,0
